B1.1; 12.70:37; 22.1:57; 41.6:72; 50:100
B1.2; 13.61:37; 21:57; 40.2:72; 50:100
B2.1; 7.99:37; 25:60; 44:72; 50:100
B2.2; 2:30; 15:60; 24:70; 50:100
B3.1; 5.57:37; 9.7:57; 32:72; 50:100
B3.2; 18:50; 31:57; 41.5:72; 50:102
B3.3; 12.64:37; 22:57; 37:72; 50:100
B3.4; 10.00:37; 17.4:57; 35.4:72; 50:100
B3.5; 12.52:37; 21.8:57; 42.8:72; 50:100
B4.1; 7.64:37; 16:50; 30:70; 50:100
B4.2; 5:30; 16:50; 21:60; 30:70; 50:100
B4.3; 18.44:37; 30:60; 36.6:72; 50:100
B4.4; 30:60; 35:70; 50:100
B5.1; 14:50; 41.4:72; 50:100
B5.2; 10.86:37; 18.9:57; 44.4:72; 50:100
B5.3; 6.49:37; 11.3:57; 29:70; 50:100
B5.4; 8.39:37; 18:50; 42.6:72; 50:100
B5.5; 14.36:37; 23:57; 40:72; 50:100
B5.6; 14.70:37; 25.6:57; 46:70; 50:100
B6.1; 25:50; 32:60; 42:70; 50:100
B6.2; 13.10:37; 22.8:57; 43.8:72; 50:100
B6.3; 7.99:37; 13.9:57; 33:70; 50:100
B7.1; 15.51:37; 27:57; 42:72; 50:100
B7.2; 15.68:37; 27.3:57; 40.8:72; 50:100
B7.3; 13.56:37; 23.6:57; 36:70; 50:100
B8.1; 14:50; 18.3:57; 31.8:72; 50:100
B8.2; 13.39:37; 23.3:57; 36:70; 50:100
B8.3; 9:40; 23:50; 27:57; 37:70; 50:100
B8.4; 10.17:37; 17.7:57; 45:70; 50:100
B8.5; 12:37; 28.5:57; 46:70; 50:100
BSP; 2000:100
SB1; 18.15:37; 31.6:57; 58.6:72; 66:100
SB1; 34:100
SB2.1; 15.97:37; 27.8:57; 45:70; 50:100
SB2.2; 11.78:37; 20.5:57; 43:72; 50:100
SB3.1; 11:40; 19.5:57; 42:72; 50:100
SB3.2; 7.64:37; 13.3:57; 34:70; 50:100
Artificial Intelligence; 37:40; 57:60; 67:70 
Computer Networks; 20:20; 60:55; 68:66; 100:98 
Computational Complexity; 60:70 
Concurrency; 55:60; 75:70; 100:87.5 
Concurrent Programming; 100:95; 0:5 
Computer Security; 60:65; 70:70 
Databases; 50:60 
Computer Graphics; 0:20; 60:65; 80:80 
Knowledge Representation and Reasoning; 42:50; 55:60; 70:70 
Lambda Calculus and Types; 40:50; 70:70 
Logic and Proof; 16:32; 26:50; 38:60; 60:75 
Machine Learning; 10:20; 100:95 
Quantum Information; 15:20; 20:24; 25:28; 28:30; 30:32; 32:33
