B1.1; 13.56:37; 23.6:57; 47:70; 50:100
B1.2; 13.5:37; 23.5:57; 46:72; 50:100
B2.1; 6.78:37; 11.8:57; 32.8:72; 50:100
B2.2; 6.43:37; 11.2:57; 35.2:72; 50:100
B3.1; 10.23:37; 17.8:57; 38.8:72; 50:102
B3.2; 13.44:37; 23.4:57; 41.4:72; 50:102
B3.3; 16.77:37; 29.2:57; 38.2:72; 50:100
B3.4; 9.31:37; 16.2:57; 40.2:72; 50:100
B3.5; 11.37:37; 19.8:57; 40.8:72; 50:100
B4.1; 10.91:37; 19:57; 34:72; 50:100
B4.2; 13.56:37; 23.6:57; 35.6:72; 50:100
B4.3; 15.8:37; 20:50; 35:72; 50:100
B4.4; 9.36:37; 20:50; 41:70; 50:100
B5.1; 16.49:37; 28.7:57; 45.2:72; 50:100
B5.2; 11.55:37; 20:50; 39.6:72; 50:100
B5.3; 11.32:37; 19.7:57; 36.2:72; 50:100
B5.4; 8.39:37; 18:50; 41.6:72; 50:100
B5.5; 10.63:37; 18.5:57; 41:72; 50:100
B5.6; 13.27:37; 23.1:57; 42.6:72; 50:100
B6.1; 13.33:37; 23.2:57; 42:70; 50:100
B6.2; 16.66:37; 29:57; 44:72; 50:100
B6.3; 16.26:37; 28.3:57; 41.8:72; 50:100
B7.1; 17.18:37; 29.9:57; 40.4:72; 50:100
B7.2; 8.16:37; 14.2:57; 23.2:72; 50:100
B7.3; 11.6:37; 20.2:57; 29.2:72; 50:100
B8.1; 6.38:37; 11:50; 30.6:72; 50:100
B8.2; 5.29:37; 20:50; 33.2:72; 50:100
B8.3; 13.5:37; 23.5:57; 46:72; 50:100
B8.4; 11.26:37; 19:50; 41:70; 50:100
B8.5; 12.18:37; 21.2:57; 45.2:72; 50:100
BSP; 2000:100
SB1; 18.73:37; 32.6:57; 59.6:72; 66:100
SB1; 34:100
SB2.1; 14.02:37; 24.4:57; 42.4:72; 50:100
SB2.2; 13.61:37; 23.7:57; 40.2:72; 50:100
SB3.1; 14.94:37; 26:57; 41:72; 50:100
SB3.2; 13.33:37; 25:60; 37:70; 50:100
Artificial Intelligence; 16:40; 35:60; 43:66; 50:88 
Combinatorial Optimisation; 13.5:38; 21.5:48; 48:90 
Computer Architecture; 35:68 
Computer Aided Formal Verification; 10:32; 34:69 
Computer Graphics; 0:20; 60:65; 80:80 
Computer Networks; 20:20; 60:55; 68:66; 100:98 
Computational Complexity; 60:70 
Concurrency; 55:60; 75:70; 100:87.5 
Concurrent Programming; 100:95; 0:5 
Computer Security; 60:65; 70:70 
Databases; 50:60 
Geometric Modelling; 
Knowledge Representation and Reasoning; 42:50; 55:60; 70:70 
Lambda Calculus and Types; 40:50; 70:70 
Logic and Proof; 16:32; 26:50; 38:60; 60:75 
Machine Learning; 10:20; 100:95 
Principles of Programming Languages; 
Mathematics for Computer Science and Philosophy; 
Quantum Information;
